mouse_ensembl_id,mouse_entrez_id,mouse_symbol,human_symbol,human_entrez_id
ENSMUSG00000000562,11542,Adora3,ADORA3,140
ENSMUSG00000000563,11950,Atp5pb,ATP5F1,515
ENSMUSG00000000567,20682,Sox9,SOX9,6662
ENSMUSG00000000568,11991,Hnrnpd,HNRNPD,3184
ENSMUSG00000000579,100040563,Dynlt1c,DYNLT1,6993
ENSMUSG00000000581,57316,C1d,C1D,10438
ENSMUSG00000000594,14667,Gm2a,GM2A,2760
ENSMUSG00000000600,79264,Krit1,KRIT1,889
ENSMUSG00000000605,12727,Clcn4,CLCN4,1183
ENSMUSG00000000606,669149,Vmn2r88,NA,NA
ENSMUSG00000000617,108072,Grm6,GRM6,2916
ENSMUSG00000000627,20355,Sema4f,SEMA4F,10505
ENSMUSG00000000628,15277,Hk2,HK2,3099
ENSMUSG00000000631,360013,Myo18a,MYO18A,399687
ENSMUSG00000000632,20370,Sez6,SEZ6,124925
ENSMUSG00000000673,107766,Haao,HAAO,23498
ENSMUSG00000000682,23833,Cd52,NA,NA
ENSMUSG00000000686,67477,Abhd15,ABHD15,116236
ENSMUSG00000000690,15414,Hoxb6,HOXB6,3216
ENSMUSG00000000693,16950,Loxl3,LOXL3,84695
ENSMUSG00000000701,27382,Tcl1b5,NA,NA
ENSMUSG00000000706,12231,Btn1a1,BTN1A1,696
ENSMUSG00000000708,18519,Kat2b,KAT2B,8850
ENSMUSG00000000711,19344,Rab5b,RAB5B,5869
ENSMUSG00000000724,12957,Cryba1,CRYBA1,1411
ENSMUSG00000000730,54427,Dnmt3l,DNMT3L,29947
ENSMUSG00000000731,11634,Aire,AIRE,326
ENSMUSG00000000732,50723,Icosl,ICOSLG,23308
ENSMUSG00000000738,234847,Spg7,SPG7,6687
ENSMUSG00000000739,57429,Sult5a1,NA,NA
ENSMUSG00000000743,234852,Chmp1a,CHMP1A,5119
ENSMUSG00000000751,68275,Rpa1,RPA1,6117
ENSMUSG00000000753,20317,Serpinf1,SERPINF1,5176
ENSMUSG00000000759,259279,Tubgcp3,TUBGCP3,10426
ENSMUSG00000000766,18390,Oprm1,OPRM1,4988
ENSMUSG00000000776,67065,Polr3d,POLR3D,661
ENSMUSG00000000782,21414,Tcf7,NA,NA
ENSMUSG00000000787,13205,Ddx3x,DDX3X,1654
ENSMUSG00000000791,16161,Il12rb1,IL12RB1,3594
ENSMUSG00000000792,114479,Slc5a5,SLC5A5,6528
ENSMUSG00000000794,140493,Kcnn3,KCNN3,3782
ENSMUSG00000000804,237898,Usp32,USP32,84669
ENSMUSG00000000805,12351,Car4,CA4,762
ENSMUSG00000000811,232223,Txnrd3,TXNRD3,114112
ENSMUSG00000000817,14103,Fasl,FASLG,356
ENSMUSG00000000823,269401,Zfp512b,ZNF512B,57473
ENSMUSG00000000826,13002,Dnajc5,DNAJC5,80331
ENSMUSG00000000827,66314,Tpd52l2,TPD52L2,7165
ENSMUSG00000000838,14265,Fmr1,FMR1,2332
ENSMUSG00000000861,14025,Bcl11a,BCL11A,53335
ENSMUSG00000000869,16189,Il4,IL4,3565
ENSMUSG00000000876,59038,Pxmp4,PXMP4,11264
ENSMUSG00000000881,53310,Dlg3,DLG3,1741
ENSMUSG00000000884,13972,Gnb1l,GNB1L,54584
ENSMUSG00000000889,13166,Dbh,DBH,1621
ENSMUSG00000000901,17385,Mmp11,MMP11,4320
ENSMUSG00000000902,20587,Smarcb1,SMARCB1,6598
ENSMUSG00000000903,22364,Vpreb3,VPREB3,29802
ENSMUSG00000000915,29816,Hip1r,HIP1R,9026
ENSMUSG00000000916,100609,Nsun5,NSUN5,55695
ENSMUSG00000000934,72960,Top1mt,TOP1MT,116447
ENSMUSG00000000938,15395,Hoxa10,HOXA10,3206
ENSMUSG00000000942,15401,Hoxa4,HOXA4,3201
ENSMUSG00000000948,NA,NA,NA,NA
ENSMUSG00000000957,17387,Mmp14,MMP14,4323
ENSMUSG00000000958,20540,Slc7a7,SLC7A7,9056
ENSMUSG00000000959,69089,Oxa1l,OXA1L,5018
ENSMUSG00000000976,217026,Heatr6,HEATR6,63897
ENSMUSG00000000982,20302,Ccl3,CCL3L3,414062
ENSMUSG00000000983,14038,Wfdc18,NA,NA
ENSMUSG00000001014,78369,Icam4,ICAM4,3386
ENSMUSG00000001016,67781,Ilf2,ILF2,3608
ENSMUSG00000001017,66511,Chtop,NA,NA
ENSMUSG00000001018,20615,Snapin,SNAPIN,23557
ENSMUSG00000001020,20198,S100a4,S100A4,6275
ENSMUSG00000001021,20197,S100a3,S100A3,6274
ENSMUSG00000001023,20199,S100a5,S100A5,6276
ENSMUSG00000001025,20200,S100a6,S100A6,6277
ENSMUSG00000001027,110880,Scn4a,SCN4A,6329
ENSMUSG00000001029,15896,Icam2,ICAM2,3384
ENSMUSG00000001034,23939,Mapk7,MAPK7,5598
ENSMUSG00000001036,13855,Epn2,EPN2,22905
ENSMUSG00000001039,27078,B9d1,B9D1,27077
ENSMUSG00000001052,99683,Sec24b,SEC24B,10427
ENSMUSG00000001053,212706,N4bp3,N4BP3,23138
ENSMUSG00000001054,66089,Rmnd5b,RMND5B,64777
ENSMUSG00000001056,52530,Nhp2,NHP2,55651
ENSMUSG00000001062,72325,Vps9d1,VPS9D1,9605
ENSMUSG00000001065,57247,Zfp276,ZNF276,92822
ENSMUSG00000001076,239659,C1ql4,C1QL4,338761
ENSMUSG00000001082,68294,Mfsd10,MFSD10,10227
ENSMUSG00000001089,269593,Luzp1,LUZP1,7798
ENSMUSG00000001095,20500,Slc13a2,SLC13A2,9058
ENSMUSG00000001098,330171,Kctd10,KCTD10,83892
ENSMUSG00000001100,67811,Poldip2,POLDIP2,26073
ENSMUSG00000001103,18292,Sebox,SEBOX,645832
ENSMUSG00000001105,55978,Ift20,IFT20,90410
ENSMUSG00000001119,12833,Col6a1,COL6A1,1291
ENSMUSG00000001120,59093,Pcbp3,PCBP3,54039
ENSMUSG00000001123,16859,Lgals9,LGALS9B,284194
ENSMUSG00000001127,11836,Araf,ARAF,369
ENSMUSG00000001128,18636,Cfp,CFP,5199
ENSMUSG00000001131,21857,Timp1,TIMP1,7076
ENSMUSG00000001134,22294,Uxt,UXT,8409
ENSMUSG00000001138,94218,Cnnm3,CNNM3,26505
ENSMUSG00000001143,214895,Lman2l,LMAN2L,81562
ENSMUSG00000001150,54387,Mcm3ap,MCM3AP,8888
ENSMUSG00000001151,18541,Pcnt,NA,NA
ENSMUSG00000001155,14317,Ftcd,FTCD,10841
ENSMUSG00000001156,17119,Mxd1,MXD1,4084
ENSMUSG00000001157,23885,Gmcl1,GMCL1,64395
ENSMUSG00000001158,66618,Snrnp27,SNRNP27,11017
ENSMUSG00000001166,114643,Oas1c,NA,NA
ENSMUSG00000001168,246729,Oas1h,NA,NA
ENSMUSG00000001173,320634,Ocrl,OCRL,4952
ENSMUSG00000001175,12313,Calm1,NA,NA
ENSMUSG00000001211,28169,Agpat3,AGPAT3,56894
ENSMUSG00000001225,13487,Slc26a3,SLC26A3,1811
ENSMUSG00000001227,20359,Sema6b,SEMA6B,10501
ENSMUSG00000001228,18140,Uhrf1,UHRF1,29128
ENSMUSG00000001229,224897,Dpp9,DPP9,91039
ENSMUSG00000001240,54409,Ramp2,RAMP2,10266
ENSMUSG00000001247,54135,Lsr,LSR,51599
ENSMUSG00000001248,52857,Gramd1a,GRAMD1A,57655
ENSMUSG00000001249,15451,Hpn,HPN,3249
ENSMUSG00000001260,14405,Gabrg1,GABRG1,2565
ENSMUSG00000001270,12709,Ckb,CKB,1152
ENSMUSG00000001280,20683,Sp1,SP1,6667
ENSMUSG00000001281,16421,Itgb7,ITGB7,3695
ENSMUSG00000001285,60315,Myg1,C12orf10,60314
ENSMUSG00000001288,19411,Rarg,RARG,5916
ENSMUSG00000001289,56612,Pfdn5,PFDN5,5204
ENSMUSG00000001300,13642,Efnb2,EFNB2,1948
ENSMUSG00000001305,67223,Rrp15,RRP15,51018
ENSMUSG00000001313,11858,Rnd2,RND2,8153
ENSMUSG00000001323,27364,Srr,SRR,63826
ENSMUSG00000001333,68828,Sync,SYNC,81493
ENSMUSG00000001334,384061,Fndc5,FNDC5,252995
ENSMUSG00000001348,11433,Acp5,NA,NA
ENSMUSG00000001349,12797,Cnn1,CNN1,1264
ENSMUSG00000001366,71538,Fbxo9,FBXO9,26268
ENSMUSG00000001376,73288,Vps50,CCDC132,55610
ENSMUSG00000001380,15115,Hars1,HARS,3035
ENSMUSG00000001383,66492,Zmat2,ZMAT2,153527
ENSMUSG00000001403,68612,Ube2c,UBE2C,11065
ENSMUSG00000001415,229512,Smg5,SMG5,23381
ENSMUSG00000001416,12462,Cct3,CCT3,7203
ENSMUSG00000001418,56700,Glmp,C1orf85,112770
ENSMUSG00000001419,17261,Mef2d,MEF2D,4209
ENSMUSG00000001420,71913,Tmem79,TMEM79,84283
ENSMUSG00000001424,56463,Snd1,SND1,27044
ENSMUSG00000001435,12822,Col18a1,COL18A1,80781
ENSMUSG00000001436,20509,Slc19a1,SLC19A1,6573
ENSMUSG00000001440,16211,Kpnb1,KPNB1,3837
ENSMUSG00000001441,19155,Npepps,NPEPPS,9520
ENSMUSG00000001444,57765,Tbx21,TBX21,30009
ENSMUSG00000001445,107732,Mrpl10,MRPL10,124995
ENSMUSG00000001467,13121,Cyp51,CYP51A1,1595
ENSMUSG00000001472,66855,Tcf25,TCF25,22980
ENSMUSG00000001473,67951,Tubb6,TUBB6,84617
ENSMUSG00000001482,23854,Def8,DEF8,54849
ENSMUSG00000001493,17285,Meox1,MEOX1,4222
ENSMUSG00000001494,74499,Sost,SOST,50964
ENSMUSG00000001496,21869,Nkx2-1,NKX2-1,7080
ENSMUSG00000001497,18511,Pax9,PAX9,5083
ENSMUSG00000001504,16372,Irx2,IRX2,153572
ENSMUSG00000001506,12842,Col1a1,COL1A1,1277
ENSMUSG00000001507,16400,Itga3,ITGA3,3675
ENSMUSG00000001508,20391,Sgca,SGCA,6442
ENSMUSG00000001510,13393,Dlx3,DLX3,1747
ENSMUSG00000001517,14235,Foxm1,FOXM1,2305
ENSMUSG00000001518,101142,Itfg2,ITFG2,55846
ENSMUSG00000001520,60345,Nrip2,NRIP2,83714
ENSMUSG00000001521,22158,Tulp3,TULP3,7289
ENSMUSG00000001524,14885,Gtf2h4,GTF2H4,2968
ENSMUSG00000001525,22154,Tubb5,TUBB,203068
ENSMUSG00000001542,192657,Ell2,ELL2,22936
ENSMUSG00000001552,16480,Jup,JUP,3728
ENSMUSG00000001555,14230,Fkbp10,FKBP10,60681
ENSMUSG00000001558,66720,Klhl10,KLHL10,317719
ENSMUSG00000001566,15285,Mnx1,MNX1,3110
ENSMUSG00000001569,433864,Nom1,NOM1,64434
ENSMUSG00000001576,67458,Ergic1,ERGIC1,57222
ENSMUSG00000001583,83813,Tnk1,TNK1,8711
ENSMUSG00000001588,216859,Acap1,ACAP1,9744
ENSMUSG00000001604,21401,Tcea3,TCEA3,6920
ENSMUSG00000001622,12994,Csn3,CSN3,1448
ENSMUSG00000001627,15982,Ifrd1,IFRD1,3475
ENSMUSG00000001630,232533,Stk38l,STK38L,23012
ENSMUSG00000001632,78783,Brpf1,BRPF1,7862
ENSMUSG00000001642,11677,Akr1b1,AKR1B1,231
ENSMUSG00000001655,15422,Hoxc13,HOXC13,3229
ENSMUSG00000001656,109663,Hoxc11,HOXC11,3227
ENSMUSG00000001657,15426,Hoxc8,HOXC8,3224
ENSMUSG00000001661,15425,Hoxc6,HOXC6,3223
ENSMUSG00000001663,14871,Gstt1,NA,NA
ENSMUSG00000001665,103140,Gstt3,NA,NA
ENSMUSG00000001666,13202,Ddt,DDT,1652
ENSMUSG00000001670,234724,Tat,TAT,6898
ENSMUSG00000001672,73608,Marveld3,MARVELD3,91862
ENSMUSG00000001674,66942,Ddx18,DDX18,8886
ENSMUSG00000001687,24109,Ubl3,UBL3,5412
ENSMUSG00000001700,107022,Gramd2b,GRAMD3,65983
ENSMUSG00000001729,11651,Akt1,AKT1,207
ENSMUSG00000001739,60363,Cldn15,CLDN15,24146
ENSMUSG00000001741,16170,Il16,IL16,3603
ENSMUSG00000001750,27060,Tcirg1,TCIRG1,10312
ENSMUSG00000001751,27419,Naglu,NAGLU,4669
ENSMUSG00000001755,71743,Coasy,COASY,80347
ENSMUSG00000001761,319757,Smo,SMO,6608
ENSMUSG00000001763,232670,Tspan33,TSPAN33,340348
ENSMUSG00000001767,66877,Crnkl1,CRNKL1,51340
ENSMUSG00000001768,74030,Rin2,RIN2,54453
ENSMUSG00000001773,53320,Folh1,NA,NA
ENSMUSG00000001774,66917,Chordc1,CHORDC1,26973
ENSMUSG00000001783,28088,Rtcb,RTCB,51493
ENSMUSG00000001785,103136,Pwp1,PWP1,11137
ENSMUSG00000001786,69754,Fbxo7,FBXO7,25793
ENSMUSG00000001794,12336,Capns1,CAPNS1,826
ENSMUSG00000001802,435965,Lrp3,LRP3,4037
ENSMUSG00000001804,16769,Dsg4,DSG4,147409
ENSMUSG00000001815,14029,Evx2,EVX2,344191
ENSMUSG00000001819,15433,Hoxd13,HOXD13,3239
ENSMUSG00000001823,15432,Hoxd12,HOXD12,3238
ENSMUSG00000001827,14275,Folr1,FOLR1,2348
ENSMUSG00000001829,20480,Clpb,CLPB,81570
ENSMUSG00000001833,235072,Septin7,SEPT7,989
ENSMUSG00000001844,72881,Zdhhc4,ZDHHC4,55146
ENSMUSG00000001847,19353,Rac1,RAC1,5879
ENSMUSG00000001855,227720,Nup214,NUP214,8021
ENSMUSG00000001864,108897,Aif1l,AIF1L,83543
ENSMUSG00000001865,12873,Cpa3,CPA3,1359
ENSMUSG00000001870,268977,Ltbp1,LTBP1,4052
ENSMUSG00000001891,216558,Ugp2,UGP2,7360
ENSMUSG00000001901,192775,Kcnh6,KCNH6,81033
ENSMUSG00000001909,212528,Trmt1,TRMT1,55621
ENSMUSG00000001910,66830,Nacc1,NACC1,112939
ENSMUSG00000001911,18032,Nfix,NFIX,4784
ENSMUSG00000001918,20514,Slc1a5,SLC1A5,6510
ENSMUSG00000001924,22201,Uba1,UBA1,7317
ENSMUSG00000001930,22371,Vwf,VWF,7450
ENSMUSG00000001942,22619,Siae,SIAE,54414
ENSMUSG00000001943,57276,Vsig2,VSIG2,23584
ENSMUSG00000001946,69524,Esam,ESAM,90952
ENSMUSG00000001948,20686,Spa17,SPA17,53340
ENSMUSG00000001962,108160,Fam50a,FAM50A,9130
ENSMUSG00000001964,13726,Emd,EMD,2010
ENSMUSG00000001983,70207,Taco1,TACO1,51204
ENSMUSG00000001985,14807,Grik3,GRIK3,2899
ENSMUSG00000001986,53623,Gria3,GRIA3,2892
ENSMUSG00000001988,18142,Npas1,NPAS1,4861
ENSMUSG00000001995,244668,Sipa1l2,SIPA1L2,57568
ENSMUSG00000001998,108011,Ap4e1,AP4E1,23431
ENSMUSG00000001999,109778,Blvra,BLVRA,644
ENSMUSG00000002006,245469,Pdzd4,PDZD4,57595
ENSMUSG00000002007,56504,Srpk3,SRPK3,26576
ENSMUSG00000002010,15929,Idh3g,IDH3G,3421
ENSMUSG00000002012,93843,Pnck,PNCK,139728
ENSMUSG00000002014,20832,Ssr4,SSR4,6748
ENSMUSG00000002015,27061,Bcap31,BCAP31,10134
ENSMUSG00000002017,72722,Fam98a,FAM98A,25940
ENSMUSG00000002020,16997,Ltbp2,LTBP2,4053
ENSMUSG00000002028,214162,Kmt2a,KMT2A,4297
ENSMUSG00000002031,76568,Ift46,IFT46,56912
ENSMUSG00000002032,71687,Tmem25,TMEM25,84866
ENSMUSG00000002033,12502,Cd3g,CD3G,917
ENSMUSG00000002043,67091,Trappc6a,TRAPPC6A,79090
ENSMUSG00000002052,20926,Supt6,SUPT6H,6830
ENSMUSG00000002055,54141,Spag5,SPAG5,10615
ENSMUSG00000002057,15218,Foxn1,FOXN1,8456
ENSMUSG00000002058,22248,Unc119,UNC119,9094
ENSMUSG00000002059,19376,Rab34,RAB34,83871
ENSMUSG00000002064,20316,Sdf2,SDF2,6388
ENSMUSG00000002068,12447,Ccne1,CCNE1,898
ENSMUSG00000002076,74377,Hsf2bp,HSF2BP,11077
ENSMUSG00000002083,170770,Bbc3,BBC3,27113
ENSMUSG00000002100,17868,Mybpc3,MYBPC3,4607
ENSMUSG00000002102,19182,Psmc3,PSMC3,5702
ENSMUSG00000002103,11432,Acp2,ACP2,53
ENSMUSG00000002104,19400,Rapsn,RAPSN,5913
ENSMUSG00000002105,68427,Slc39a13,SLC39A13,91252
ENSMUSG00000002107,14007,Celf2,CELF2,10659
ENSMUSG00000002108,22259,Nr1h3,NR1H3,10062
ENSMUSG00000002109,107986,Ddb2,DDB2,1643
ENSMUSG00000002111,20375,Spi1,SPI1,6688
ENSMUSG00000002129,67465,Sf3a1,SF3A1,10291
ENSMUSG00000002147,20852,Stat6,STAT6,6778
ENSMUSG00000002190,12745,Clgn,CLGN,1047
ENSMUSG00000002204,16541,Napsa,NAPSA,9476
ENSMUSG00000002205,101568,Vrk3,VRK3,51231
ENSMUSG00000002210,71997,Smg9,SMG9,56006
ENSMUSG00000002221,55982,Paxip1,NA,NA
ENSMUSG00000002222,68477,Rmnd5a,RMND5A,64795
ENSMUSG00000002227,17454,Mov10,MOV10,4343
ENSMUSG00000002228,71887,Ppm1j,PPM1J,333926
ENSMUSG00000002233,11853,Rhoc,RHOC,389
ENSMUSG00000002240,73779,Prr27,NA,NA
ENSMUSG00000002249,21678,Tead3,TEAD3,7005
ENSMUSG00000002250,19015,Ppard,PPARD,5467
ENSMUSG00000002257,23853,Def6,DEF6,50619
ENSMUSG00000002265,18616,Peg3,PEG3,5178
ENSMUSG00000002266,22776,Zim1,NA,NA
ENSMUSG00000002274,70083,Metrn,METRN,79006
ENSMUSG00000002279,76483,Lmf1,LMF1,64788
ENSMUSG00000002280,67563,Ciao3,NARFL,64428
ENSMUSG00000002289,57875,Angptl4,ANGPTL4,51129
ENSMUSG00000002297,27214,Dbf4,DBF4,10926
ENSMUSG00000002307,13163,Daxx,DAXX,1616
ENSMUSG00000002308,54219,Cd320,CD320,51293
ENSMUSG00000002319,75751,Ipo4,IPO4,79711
ENSMUSG00000002320,74140,Tm9sf1,TM9SF1,10548
ENSMUSG00000002324,56739,Rec8,REC8,9985
ENSMUSG00000002325,16391,Irf9,IRF9,10379
ENSMUSG00000002326,105446,Gmpr2,GMPR2,51292
ENSMUSG00000002329,67881,Mdp1,MDP1,145553
ENSMUSG00000002332,52585,Dhrs1,DHRS1,115817
ENSMUSG00000002341,13004,Ncan,NCAN,1463
ENSMUSG00000002342,234371,Tmem161a,TMEM161A,54929
ENSMUSG00000002343,76813,Armc6,ARMC6,93436
ENSMUSG00000002345,72368,Borcs8,MEF2BNB,729991
ENSMUSG00000002346,73095,Slc25a42,SLC25A42,284439
ENSMUSG00000002365,66616,Snx9,SNX9,51429
ENSMUSG00000002372,71810,Ranbp3,RANBP3,8498
ENSMUSG00000002379,69875,Ndufa11,NDUFA11,126328
ENSMUSG00000002384,12164,Bmp8b,NA,NA
ENSMUSG00000002393,13864,Nr2f6,NR2F6,2063
ENSMUSG00000002395,67023,Use1,USE1,55850
ENSMUSG00000002396,77090,Ocel1,OCEL1,79629
ENSMUSG00000002409,13549,Dyrk1b,DYRK1B,9149
ENSMUSG00000002413,109880,Braf,BRAF,673
ENSMUSG00000002416,68198,Ndufb2,NDUFB2,4708
ENSMUSG00000002428,20585,Hltf,HLTF,6596
ENSMUSG00000002455,68879,Prpf6,PRPF6,24148
ENSMUSG00000002458,56470,Rgs19,RGS19,10287
ENSMUSG00000002459,58175,Rgs20,RGS20,8601
ENSMUSG00000002475,106861,Abhd3,ABHD3,171586
ENSMUSG00000002477,20641,Snrpd1,SNRPD1,6632
ENSMUSG00000002486,77832,Tchp,TCHP,84260
ENSMUSG00000002489,21844,Tiam1,TIAM1,7074
ENSMUSG00000002496,22084,Tsc2,TSC2,7249
ENSMUSG00000002504,65962,Nherf2,SLC9A3R2,9351
ENSMUSG00000002524,67959,Puf60,PUF60,22827
ENSMUSG00000002546,99412,Golga2,GOLGA2,2801
ENSMUSG00000002550,22245,Uck1,UCK1,83549
ENSMUSG00000002565,20259,Scin,SCIN,85477
ENSMUSG00000002578,22781,Ikzf4,IKZF4,64375
ENSMUSG00000002580,103742,Mien1,MIEN1,84299
ENSMUSG00000002588,18979,Pon1,PON1,5444
ENSMUSG00000002602,26362,Axl,AXL,558
ENSMUSG00000002603,21803,Tgfb1,TGFB1,7040
ENSMUSG00000002608,52132,Ccdc97,CCDC97,90324
ENSMUSG00000002617,22700,Zfp40,NA,NA
ENSMUSG00000002625,54194,Akap8l,AKAP8L,26993
ENSMUSG00000002633,20423,Shh,SHH,6469
ENSMUSG00000002635,68079,Pdcd2l,PDCD2L,84306
ENSMUSG00000002658,98053,Gtf2f1,GTF2F1,2962
ENSMUSG00000002660,53895,Clpp,CLPP,8192
ENSMUSG00000002661,66400,Alkbh7,ALKBH7,84266
ENSMUSG00000002664,19197,Pspn,PSPN,5623
ENSMUSG00000002668,70785,Dennd1c,DENND1C,79958
ENSMUSG00000002679,69792,Med6,MED6,10001
ENSMUSG00000002688,18760,Prkd1,PRKD1,5587
ENSMUSG00000002699,16822,Lcp2,LCP2,3937
ENSMUSG00000002718,110750,Cse1l,CSE1L,1434
ENSMUSG00000002728,67877,Naa20,NAA20,51126
ENSMUSG00000002731,23992,Prkra,PRKRA,8575
ENSMUSG00000002732,14231,Fkbp7,FKBP7,51661
ENSMUSG00000002733,83435,Plekha3,PLEKHA3,65977
ENSMUSG00000002741,56418,Ykt6,YKT6,10652
ENSMUSG00000002748,22385,Baz1b,BAZ1B,9031
ENSMUSG00000002763,224824,Pex6,PEX6,5190
ENSMUSG00000002767,27398,Mrpl2,MRPL2,51069
ENSMUSG00000002768,17256,Mea1,MEA1,4201
ENSMUSG00000002769,14711,Gnmt,GNMT,27232
ENSMUSG00000002771,14814,Grin2d,GRIN2D,2906
ENSMUSG00000002778,68137,Kdelr1,KDELR1,10945
ENSMUSG00000002781,70209,Tmem143,TMEM143,55260
ENSMUSG00000002791,NA,NA,NA,NA
ENSMUSG00000002797,110175,Ggct,GGCT,79017
