rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method,drh_pert_iname,drh_clinical_phase,drh_moa,drh_target,drh_disease_area,drh_indication
153,Ribavirin,2,-0.1486733286979733,-0.2918124358087587,0.5107255257737267,local_gmt_fallback,ribavirin,Launched,antiviral,ADK|ENPP1|IMPDH1|IMPDH2|NT5C2,infectious disease,hepatitis C
154,Celecoxib,2,-0.2249045286811997,-0.2891984634869898,0.5138087980599693,local_gmt_fallback,celecoxib,Launched,cyclooxygenase inhibitor,CA12|PDPK1|PTGS2,rheumatology|endocrinology,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD)
155,Foretinib,2,-0.1473581831757045,-0.2827890906155838,0.5214478839091591,local_gmt_fallback,foretinib,Phase 2,VEGFR inhibitor,FLT1|FLT4|KDR|MET,,
156,Mek,2,-0.1581708811013707,-0.2639077495754802,0.5446183253600347,local_gmt_fallback,,,,,,
157,Halothane,2,-0.1446153866344804,-0.2620051910395954,0.5470094245549628,local_gmt_fallback,halothane,Launched,glutamate receptor antagonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK12|KCNK13|KCNK15|KCNK18|KCNK2|KCNK3|KCNK9,neurology/psychiatry,general anaesthetic
158,Metformin,2,-0.224496190564198,-0.259417376551052,0.5502785996928565,local_gmt_fallback,metformin,Launched,insulin sensitizer,ACACB|PRKAB1,endocrinology,diabetes mellitus
159,Phenytoin,2,-0.1534234927414214,-0.2568166684367538,0.5535837478179556,local_gmt_fallback,phenytoin,Launched,hydantoin antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
160,Corticosterone,2,-0.2241998902131352,-0.2527168099603999,0.558834474684599,local_gmt_fallback,corticosterone,Preclinical,mineralocorticoid receptor agonist,HSD11B1|NCOA1|NR3C2,,
161,Gatifloxacin,2,-0.128712599637558,-0.2505084495280595,0.5616833502743608,local_gmt_fallback,gatifloxacin,Withdrawn,bacterial DNA gyrase inhibitor,,,
162,Neocarzinostatin,2,-0.2329357458072374,-0.2426658697176374,0.5719184806011841,local_gmt_fallback,,,,,,
163,Adenosine,2,-0.1558371152210837,-0.2361461610584302,0.5805689951451865,local_gmt_fallback,adenosine,Launched,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4,cardiology,Wolff-Parkinson-White Syndrome (WPW)
164,Medroxyprogesterone,2,-0.1792327919299063,-0.2304823247136507,0.5881900523151251,local_gmt_fallback,medroxyprogesterone,Launched,progesterone receptor agonist,PGR,endocrinology,contraceptive
165,Y15,2,-0.1344256445591761,-0.2268737009183732,0.5930977808673719,local_gmt_fallback,,,,,,
166,Deltamethrin,2,-0.1761676789913535,-0.2244167244677653,0.5964626799914625,local_gmt_fallback,,,,,,
168,Methylphenidate,2,-0.1064305526344232,-0.2123170887006908,0.613314046521746,local_gmt_fallback,,,,,,
169,Isoflurane,2,-0.1141510318102449,-0.2113845127085959,0.6146324526175662,local_gmt_fallback,isoflurane,Launched,inhaled anaesthetic,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9,neurology/psychiatry,general anaesthetic
170,Clinafloxacin,2,-0.1127659031253376,-0.2106324636787922,0.6156977071975466,local_gmt_fallback,clinafloxacin,Phase 3,bacterial DNA gyrase inhibitor,,,
172,Coenzyme,2,-0.1395800952614204,-0.1874528568808588,0.6494521264559425,local_gmt_fallback,,,,,,
173,Irinotecan,2,-0.0967790777609883,-0.1838445910153905,0.6548704725727846,local_gmt_fallback,irinotecan,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer
174,Isotretinoin,2,-0.0929218776640095,-0.1837665127566507,0.6549882169716441,local_gmt_fallback,isotretinoin,Launched,retinoid receptor agonist,RARA|RARB|RARG,dermatology,acne vulgaris (AV)
175,Bleomycin,2,-0.148982614379421,-0.1794738434223624,0.6614943765994683,local_gmt_fallback,bleomycin,Launched,DNA synthesis inhibitor,,hematologic malignancy|pulmonary|oncology,non-Hodgkin lymphoma (NHL)|Hodgkin's lymphoma|pleural effusion|testicular carcinoma|squamous cell carcinoma
177,Nicotinamide,2,-0.1346833123873879,-0.1789218527452814,0.6623356741269719,local_gmt_fallback,nicotinamide,Launched,protein synthesis stimulant,BST1|LDHA|PARP1|SIRT5,dermatology,acne vulgaris (AV)
178,Mehp,2,-0.1051161676320057,-0.1730987124946839,0.671276258573349,local_gmt_fallback,,,,,,
179,Ubiquinol,2,-0.0843571885504142,-0.1669346525919087,0.6808718003825447,local_gmt_fallback,,,,,,
180,Levofloxacin,2,-0.0880873417515937,-0.1649257110589686,0.6840286448944393,local_gmt_fallback,levofloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease|otolaryngology|pulmonary|urology,pneumonia|sinusitis|bronchitis|skin infections|prostatitis|urinary tract infections|pyelonephritis|anthrax|plague
181,Formaldehyde,1,-0.1609749920865529,-0.1609749920865529,0.6902795509588053,local_gmt_fallback,,,,,,
182,Abiraterone,2,-0.0880444017234699,-0.1598953309503664,0.6919977287758597,local_gmt_fallback,abiraterone,Launched,androgen biosynthesis inhibitor,CYP11B1|CYP17A1,oncology,prostate cancer
183,Imiquimod,2,-0.0923501484483638,-0.1586216144478205,0.6940302268713057,local_gmt_fallback,imiquimod,Launched,interferon inducer|toll-like receptor agonist,TLR7|TLR8,dermatology|infectious disease|oncology,actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC)
184,Triiodothyronine,2,-0.1558016098540041,-0.1558917151638137,0.6984065195939226,local_gmt_fallback,,,,,,
185,Thapsigargin,2,-0.0828084170687162,-0.1533356138081552,0.7025292099913861,local_gmt_fallback,,,,,,
186,Bisphenol,1,-0.1460079206059293,-0.1460079206059293,0.7144832953038442,local_gmt_fallback,,,,,,
187,Calcitonin,1,-0.1448483992584257,-0.1448483992584257,0.7163934406136577,local_gmt_fallback,calcitonin,Launched,calcitonin agonist,,orthopedics,osteoporosis
188,Phenobarbital,2,-0.1333639684676472,-0.144149501644184,0.7175472401047813,local_gmt_fallback,,,,,,
189,Vancomycin,1,-0.1407696563761274,-0.1407696563761274,0.7231532521175971,local_gmt_fallback,vancomycin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,endocarditis
190,Atorvastatin,2,-0.0706583359057479,-0.1390544530807755,0.7260149219065792,local_gmt_fallback,atorvastatin,Launched,HMGCR inhibitor,AHR|DPP4|HMGCR,neurology/psychiatry|cardiology,stroke|heart attack
191,Acetaminophen,2,-0.0696085478848469,-0.1382899097969116,0.727294143085252,local_gmt_fallback,,,,,,
192,Epz004777,2,-0.0716224535803568,-0.1364299680478144,0.730415586198795,local_gmt_fallback,EPZ004777,Preclinical,histone lysine methyltransferase inhibitor,DOT1L,,
193,Etanercept,2,-0.0836719419407893,-0.1354752139882499,0.7320230999576723,local_gmt_fallback,,,,,,
194,Alitretinoin,2,-0.0915247349858902,-0.1291625263671832,0.7427411292804589,local_gmt_fallback,,,,,,
195,Zinc,2,-0.0666044050140393,-0.1195346640582807,0.7593908079953731,local_gmt_fallback,,,,,,
196,Lysophosphatidic,2,-0.0669503944221208,-0.1169832379323477,0.7638652652190611,local_gmt_fallback,,,,,,
197,Pioglitazone,2,-0.0917118901646476,-0.1160096035398099,0.7655796774854688,local_gmt_fallback,pioglitazone,Launched,insulin sensitizer|PPAR receptor agonist,PPARG|TRPM3,endocrinology,diabetes mellitus
198,Quercetin,2,-0.0593881606646355,-0.1118326104872223,0.7729784556896605,local_gmt_fallback,quercetin,Launched,polar auxin transport inhibitor,ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIK3CG|PIM1|STK17B|UGT3A1,neurology/psychiatry|allergy,fatigue|allergic rhinitis|drowsiness
199,Ethinyl,2,-0.0702261042086626,-0.1112176547861306,0.7740737590610257,local_gmt_fallback,,,,,,
200,Aminolevulinic,2,-0.0673150401109339,-0.1077031369902128,0.7803633474477983,local_gmt_fallback,,,,,,
201,Rituximab,1,-0.0977592749163309,-0.0977592749163309,0.7984371303440929,local_gmt_fallback,,,,,,
202,Leptin,2,-0.0661467587782132,-0.0942984045825043,0.8048252541766847,local_gmt_fallback,,,,,,
203,Pyrazinamide,1,-0.0870664017392173,-0.0870664017392173,0.8183396579911908,local_gmt_fallback,pyrazinamide,Launched,fatty acid synthase inhibitor,FASN,infectious disease,tuberculosis
204,Tibolone,1,-0.0820533566594901,-0.0820533566594901,0.8278404504363164,local_gmt_fallback,tibolone,Launched,androgen receptor agonist|estrogen receptor agonist|progesterone receptor agonist,ESR1,obstetrics/gynecology,endometriosis
205,Pd173074,2,-0.0639800548860137,-0.0809160500925807,0.8300111946709106,local_gmt_fallback,,,,,,
206,Heregulin,2,-0.0472738400335532,-0.0806096023219686,0.8305970755678191,local_gmt_fallback,,,,,,
207,Methoxychlor,2,-0.0588312606872434,-0.0723355400722019,0.8465730909345928,local_gmt_fallback,,,,,,
208,Metoprolol,1,-0.0723086917492199,-0.0723086917492199,0.8466254281649666,local_gmt_fallback,metoprolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,hypertension|angina pectoris|myocardial infarction
209,Trichloroethylene,2,-0.0339970174074857,-0.0658196633100175,0.8593702928410434,local_gmt_fallback,trichloroethylene,Preclinical,,,,
210,Cisplatin,2,-0.0382726025153013,-0.0650196271053892,0.8609548421040707,local_gmt_fallback,cisplatin,Launched,DNA alkylating agent|DNA synthesis inhibitor,XIAP,oncology,testicular carcinoma|ovarian cancer|bladder cancer
211,Propofol,2,-0.0626184930463175,-0.064104902571469,0.862770122976956,local_gmt_fallback,propofol,Launched,benzodiazepine receptor agonist,FAAH|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|SCN2A|SCN4A,neurology/psychiatry,anesthetic
212,Genistein,2,-0.0310139750256659,-0.061132083521166,0.8686961894529914,local_gmt_fallback,genistein,Phase 2/Phase 3,tyrosine kinase inhibitor,CFTR|ESR1|ESR2|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5,,
213,Creatine,1,-0.0584979943938082,-0.0584979943938082,0.8739810286946343,local_gmt_fallback,creatine,Launched,,CKB|CKM|CKMT1A|CKMT2|GAMT|SLC6A8,,
214,Streptozocin,2,-0.0425255920155505,-0.0583004021527097,0.8743787568914183,local_gmt_fallback,,,,,,
215,Phosgene,2,-0.0272810426710887,-0.0514300197002913,0.888321104937098,local_gmt_fallback,,,,,,
216,Concanavalin,1,-0.0496824134657733,-0.0496824134657733,0.8919029215835265,local_gmt_fallback,,,,,,
217,Mepenzolate,4,-0.0223909940164379,-0.0464649158628424,0.8985351770943393,local_gmt_fallback,mepenzolate,Launched,acetylcholine receptor antagonist,,gastroenterology,peptic ulcer disease (PUD)
218,Troglitazone,2,-0.0362953340162089,-0.0447680378514622,0.902052806718468,local_gmt_fallback,troglitazone,Withdrawn,insulin sensitizer|PPAR receptor agonist,CYP2C8|PPARG|TRPM3,,
219,Sevoflurane,2,-0.020407668288896,-0.0395286382577092,0.9130012281580298,local_gmt_fallback,sevoflurane,Launched,membrane integrity inhibitor,ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9|MT-ND1,neurology/psychiatry,anesthetic
220,Angiotensin,2,-0.020121497572486,-0.0342582815017173,0.9241484054323028,local_gmt_fallback,,,,,,
221,Progesterone,2,-0.017854179734111,-0.0316051692896735,0.9298113232269942,local_gmt_fallback,progesterone,Launched,progesterone receptor agonist,CATSPER1|CATSPER2|CATSPER3|CATSPER4|CYP17A1|ESR1|NR3C2|OPRK1|PGR|TRPC5,obstetrics/gynecology|endocrinology,infertility|amenorrhea
222,Androstanolone,2,-0.0125440937675595,-0.024395958340036,0.9453748438267786,local_gmt_fallback,,,,,,
223,Nicotine,2,-0.0158525287458399,-0.0237567314086865,0.9467673414001776,local_gmt_fallback,nicotine,Launched,acetylcholine receptor agonist,CHAT|CHRNA10|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB3|CHRNB4|CYP19A1|TBXAS1|TRPA1,neurology/psychiatry,smoking cessation
225,Mycophenolic,2,-0.0192879851160262,-0.0216310328021215,0.951412750089604,local_gmt_fallback,,,,,,
226,Phenol,2,-0.0101495729211464,-0.0195183663827732,0.9560522625624982,local_gmt_fallback,phenol,Preclinical,,CA1|CA12|CA14|CA2|CA4|CA9,otolaryngology,pharyngitis
227,Lubiprostone,2,-0.0147839871363332,-0.019359072957073,0.9564029941036662,local_gmt_fallback,lubiprostone,Launched,chloride channel activator,CLCN2,gastroenterology,constipation|irritable bowel syndrome
228,Lipopolysaccharide,1,-0.0182119136585222,-0.0182119136585222,0.9589326069108628,local_gmt_fallback,,,,,,
229,Carbidopa,2,-0.0098584787988766,-0.0145718859520414,0.9670036515525148,local_gmt_fallback,carbidopa,Launched,aromatic L-amino acid decarboxylase inhibitor,DDC,neurology/psychiatry,Parkinson's Disease
230,Morphine,2,-0.0074861956619649,-0.0125167591444321,0.9715904578034814,local_gmt_fallback,,,,,,
231,Mesalazine,1,-0.0059001334820088,-0.0059001334820088,0.9865063078167038,local_gmt_fallback,mesalazine,Launched,cyclooxygenase inhibitor|lipoxygenase inhibitor|prostanoid receptor antagonist,ALOX5|CHUK|IKBKB|MPO|PPARG|PTGS1|PTGS2,gastroenterology,ulcerative colitis|inflammatory bowel disease
232,Methotrexate,2,-0.0037897938602772,-0.0039126133917801,0.9910313353025518,local_gmt_fallback,methotrexate,Launched,dihydrofolate reductase inhibitor,DHFR,oncology|hematologic malignancy|dermatology|rheumatology,gestational choriocarcinoma|hydatidiform mole|acute lymphoblastic leukemia (ALL)|psoriasis|rheumatoid arthritis
233,Trichostatin,1,-0.0019874162528376,-0.0019874162528376,0.9954342597892968,local_gmt_fallback,,,,,,
234,Vanadium,1,-0.0015830703681645,-0.0015830703681645,0.9963614812788532,local_gmt_fallback,,,,,,
235,Cholestyramine,1,-0.0010702566698361,-0.0010702566698361,0.9975386769813748,local_gmt_fallback,,,,,,
236,Orotic,1,-0.0010412048564021,-0.0010412048564021,0.997605408837464,local_gmt_fallback,,,,,,
237,Paclitaxel,1,-0.000822101446584,-0.000822101446584,0.9981088319802068,local_gmt_fallback,paclitaxel,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)
